Scientific Name,Common Name,Genus,Pretreatment,Germination Instructions,Progress Status,Sowing Date,Germination Date,Quantity,Notes,Image Link,Growth Rate,Mature Height,Mature Width,Foliage Description,Flower Info,Flowering Time,Soil Preference,Frost Tolerance,Drought Tolerance,Conservation Status,Conservation Locale
"Acacia podalyriifolia","Queensland Silver Wattle","Acacia","Scarification (Hot Water)","Sow in well-drained native seed-raising mix, cover lightly. Keep moist in warm position (18\text{--}25^\circ\text{C}). Germination in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Popular ornamental. Quick growing. Beautiful silver foliage.","https://www.gardenia.net/wp-content/uploads/2023/05/acacia-podalyriifolia-780x520.webp","Fast","3m - 6m","3m - 5m","Silvery-grey velvet obovate phyllodes.","Bright golden yellow ball clusters.","Winter (Jun - Aug)","Dry, sandy loam, extremely well-drained","Moderate (-7°C)","High","Least Concern","QLD / NSW"
"Acacia denticulosa","Sandpaper Wattle","Acacia","Scarification (Hot Water)","Sow in sandy loam, cover to seed depth. Place in warm, sheltered spot. Germination in 3\text{--}6\text{ weeks}.","Germinated","N/A","N/A","1 packet","Distinctive rough leaf texture.","https://upload.wikimedia.org/wikipedia/commons/4/45/Acacia_denticulosa.jpg","Moderate","1m - 4m","1m - 3m","Dark green rough sandpaper-like texture, wavy leaf ribs.","Golden yellow rods, curved.","Spring (Sep - Nov)","Gravelly clay loam, granite sand","Moderate (-5°C)","High","Vulnerable","WA"
"Acacia vestita","Weeping Wattle / Hairy Wattle","Acacia","Scarification (Hot Water)","Sow in a free-draining mix. Keep damp. Germinates in 2\text{--}5\text{ weeks}.","Planted","N/A","N/A","1 packet","Graceful weeping habit.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRS9coHct7XeSP79-i0hakGufvADTnbSZNrTw&s","Fast","3m - 6m","3m - 5m","Silvery-green small hairy phyllodes.","Abundant pale yellow globes.","Spring (Sep - Nov)","Adaptable, thrives in moist clay loam","High (-8°C)","High","Least Concern","NSW / VIC"
"Acacia rigens","Needle Wattle / Nealie","Acacia","Scarification (Hot Water)","Sow in sandy loam, cover seed depth. Germinates in 3\text{--}10\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Very tough and highly drought-resistant.","https://apps.lucidcentral.org/wattle/images/entities/acacia_rigens/r0011374_3.jpg","Moderate","1m - 3m","1.5m - 3m","Rigid, sharp needle-like grey-green leaves.","Bright yellow globes along branches.","Spring (Aug - Nov)","Red sand, sandy clay, calcareous mallee","Moderate (-5°C)","High","Least Concern","Inland Australia"
"Acacia inaequilatera","Camel Bush / Ranji Bush","Acacia","Scarification (Hot Water)","Sow in sandy red native mix. Germination in 2\text{--}6\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Very thick corky bark. Desert native.","https://apps.lucidcentral.org/wattle/images/entities/acacia_inaequilatera/dsc_21827_3.jpg","Slow to Moderate","2m - 5m","2m - 4m","Leathery asymmetrical blue-grey spinose leaves.","Golden globular heads on purple stalks.","Winter (May - Aug)","Skeletal rocky soils, stony hillsides","Low (-2°C)","Extremely High","Least Concern","WA / NT / SA"
"Acacia pendula","Weeping Myall / Boree","Acacia","Scarification (Hot Water)","Sow in standard free-draining loam. Germinates in 2\text{--}5\text{ weeks}.","Germinated","N/A","N/A","1 packet","Long-lived inland tree species.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYn9OSvlz_WtJVWoKFkElGA238bBL1p3WpYQ&s","Slow","5m - 12m","4m - 8m","Weeping glaucous silver-grey ribbons.","Sparse pale yellow small globes.","Summer (Dec - Feb)","Heavy clay, alluvial plains, grey clay loams","High (-8°C)","Extremely High","Least Concern","Inland Eastern Aus"
"Acacia glaucoptera","Flat Wattle / Clay Wattle","Acacia","Scarification (Hot Water)","Sow in highly porous sand-gritty mix. Sensitive to damping-off; do not overwater. Germinates in 3\text{--}6\text{ weeks}.","Germinated","N/A","N/A","1 packet","Bizarre flat leaves directly connected to stem.","https://www.plantsforspaces.com.au/wp-content/uploads/2024/07/Acacia-glaucoptera-Clay-Wattle-Flowers.jpg","Moderate","0.5m - 1.5m","1m - 2.5m","Flat blue-grey winged stems.","Yellow balls directly mid-leaf stem.","Winter (Jul - Sep)","Clay-loam, gravelly soils, appreciates wet winter","High (-6°C)","High","Least Concern","WA"
"Acacia latescens","Ball Wattle","Acacia","Scarification (Hot Water)","Sow in warm native loam. Keep moist. Germination in 3\text{--}6\text{ weeks}.","Failed","N/A","N/A","1 packet","Tropical monsoonal wattle.","https://apps.lucidcentral.org/wattle/images/entities/acacia_latescens/s23704watif7.jpg","Fast","3m - 8m","2m - 5m","Glossy bright green curved sickle leaves.","Pale cream yellow balls in winter.","Winter (May - Jul)","Monsoonal sandy loam, laterite soils","Low (0°C)","Moderate","Least Concern","NT"
"Eucalyptus websteriana","Heartleaf Mallee","Eucalyptus","None Required","Sow on surface of sandy loam. Water from below. Do not bury. Germinates in 2\text{--}4\text{ weeks}.","Germinated","N/A","N/A","1 packet","Peeling curly red bark.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgV_nbBHBAy-XoAEbdglSfOpu4201uWggTUA&s","Moderate","2m - 5m","2m - 4m","Heart-shaped small glaucous blue-grey leaves.","Creamy yellow flower tufts.","Spring (Sep - Nov)","Dry skeletal sandy loam, granite outcrops","Moderate (-4°C)","High","Least Concern","WA"
"Acacia alata var. alata","Winged Wattle","Acacia","Scarification (Hot Water)","Sow in sandy loam, light cover. Place in warm spot. Germination in 3\text{--}6\text{ weeks}.","Germinated","N/A","N/A","1 packet","Stems are flat-winged.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRIYTKXfyrRaixH3A-DaM6cniQsPDNC4JwpnA&s","Moderate","0.5m - 1.5m","1m - 1.5m","Fascinating winged stems with prickly prickles.","Cream to pale yellow globes.","Winter (May - Jul)","Sand, gravelly clay, riparian banks","Moderate (-4°C)","Moderate","Least Concern","WA"
